Date,Close/Last,Volume,Open,High,Low
05/27/2025,52.91,243911,52.78,52.974,52.76
05/23/2025,52.56,200388,51.985,52.645,51.985
05/22/2025,52.14,290980,52.08,52.33,52.03
05/21/2025,52.11,272453,52.54,52.76,52.11
05/20/2025,52.57,175026,52.37,52.61,52.37
05/19/2025,52.56,162517,52.13,52.585,52.13
05/16/2025,52.25,220603,52.105,52.32,51.985
05/15/2025,52.35,218660,52.15,52.39,52.01
05/14/2025,51.73,789399,52.14,52.14,51.62
05/13/2025,52.15,169406,51.88,52.23,51.7724
05/12/2025,51.82,186667,51.89,51.89,51.62
05/09/2025,51.43,235672,51.51,51.57,51.34
05/08/2025,50.96,260986,51.14,51.249,50.87
05/07/2025,51.12,172137,51.23,51.3688,50.95
05/06/2025,51.41,143717,51.15,51.50,51.15
05/05/2025,51.14,105515,51.24,51.28,51.11
05/02/2025,51.50,230106,51.46,51.61,51.25
05/01/2025,50.21,271396,50.27,50.39,50.02
04/30/2025,50.29,150685,49.88,50.37,49.588
04/29/2025,49.85,133362,49.77,50.00,49.6546
04/28/2025,49.88,203303,49.55,49.935,49.55
