Date,Close/Last,Volume,Open,High,Low
05/27/2025,77.06,5451555,77.225,77.309,76.915
05/23/2025,76.15,3984120,75.40,76.31,75.36
05/22/2025,76.27,3795547,76.04,76.4999,75.85
05/21/2025,76.37,3415056,76.945,77.19,76.345
05/20/2025,76.77,3120386,76.47,76.80,76.4346
05/19/2025,76.27,3941957,75.51,76.27,75.46
05/16/2025,75.30,3136559,75.05,75.335,74.85
05/15/2025,75.12,2900531,74.81,75.14,74.645
05/14/2025,74.38,4792248,74.84,74.88,74.285
05/13/2025,74.55,4512990,74.43,74.70,74.23
05/12/2025,74.25,6358598,73.98,74.255,73.52
05/09/2025,74.09,4873990,74.19,74.25,73.875
05/08/2025,73.60,2735291,74.17,74.17,73.58
05/07/2025,73.87,4005956,73.98,74.1558,73.665
05/06/2025,74.09,3118393,74.155,74.39,74.005
05/05/2025,74.28,2927935,74.40,74.485,74.26
05/02/2025,74.18,3480560,73.90,74.395,73.90
05/01/2025,72.65,3294569,73.345,73.50,72.53
04/30/2025,72.91,4028416,72.59,73.17,72.20
04/29/2025,72.98,2118104,72.795,73.095,72.74
04/28/2025,72.83,2509020,72.47,72.90,72.375
